house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent,rent_per_sqft
2 BHK House for Rent in Anjanapura Bangalore,Anjanapura,Bengaluru,350.0,2,2,2,Semi-Furnished,29.0,10000.0,28.57
"3 BHK Flat for Rent in Anjanapura, Bangalore",Anjanapura,Bengaluru,1246.0,3,2,3,Semi-Furnished,24.0,29500.0,23.68
3 BHK House for Rent in Anjanapura Township Bangalore,Anjanapura Township,Bengaluru,1600.0,3,3,0,Semi-Furnished,19.0,30000.0,18.75
2 BHK House for Rent in Annapurneshwari Nagar Bangalore,Annapurneshwari Nagar,Bengaluru,700.0,2,2,0,Unfurnished,17.0,12000.0,17.14
1 BHK House for Rent in Annasandrapalya Extension Bangalore,Annasandrapalya Extension,Bengaluru,500.0,1,1,0,Semi-Furnished,18.0,9000.0,18.0
"1 BHK Flat for Rent in Annasandrapalya Extension, Bangalore",Annasandrapalya Extension,Bengaluru,800.0,1,1,0,Unfurnished,16.0,13000.0,16.25
1 BHK House for Rent in Arekere Bangalore,Arekere,Bengaluru,600.0,1,1,0,Furnished,15.0,9000.0,15.0
1 BHK House for Rent in Arekere Bangalore,Arekere,Bengaluru,400.0,1,1,0,Semi-Furnished,28.0,11000.0,27.5
1 BHK House for Rent in Arekere Bangalore,Arekere,Bengaluru,750.0,1,2,0,Semi-Furnished,20.0,15000.0,20.0
"3 BHK Flat for Rent in Ashok Nagar, Bangalore",Ashok Nagar,Bengaluru,2300.0,3,3,3,Semi-Furnished,87.0,200000.0,86.96
"1 BHK Flat for Rent in Ashwini Layout, Ejipura, Bangalore",Ashwini Layout,Bengaluru,450.0,1,1,2,Semi-Furnished,29.0,13000.0,28.89
"3 BHK Flat for Rent in Atmananda Colony, Hebbal, Bangalore",Atmananda Colony,Bengaluru,1460.0,3,3,3,Unfurnished,21.0,30000.0,20.55
2 BHK House for Rent in Attibele Bangalore,Attibele,Bengaluru,900.0,2,2,0,Unfurnished,11.0,10000.0,11.11
2 BHK Villa for Rent in Attibele Bangalore,Attibele,Bengaluru,1500.0,2,3,0,Unfurnished,12.0,18000.0,12.0
"2 BHK Flat for Rent in Attibele, Bangalore",Attibele,Bengaluru,858.0,2,2,0,Furnished,26.0,22000.0,25.64
"2 BHK Flat for Rent in Attibele, Bangalore",Attibele,Bengaluru,858.0,2,2,0,Semi-Furnished,35.0,30000.0,34.97
"3 BHK Flat for Rent in Attibele, Bangalore",Attibele,Bengaluru,1400.0,3,3,0,Furnished,23.0,32000.0,22.86
3 BHK Villa for Rent in Attibele Anekal Road Bangalore,Attibele Anekal Road,Bengaluru,1200.0,3,3,0,Semi-Furnished,21.0,25000.0,20.83
"2 BHK Flat for Rent in Attur Layout, Yelahanka New Town, Bangalore",Attur Layout,Bengaluru,800.0,2,2,0,Semi-Furnished,21.0,16500.0,20.62
"2 BHK Flat for Rent in Aavalahalli, Bangalore",Avalahalli,Bengaluru,1200.0,2,2,0,Semi-Furnished,8.0,10000.0,8.33
"3 BHK Flat for Rent in Aavalahalli, Bangalore",Avalahalli,Bengaluru,3600.0,3,4,0,Semi-Furnished,19.0,70000.0,19.44
"3 BHK Flat for Rent in Aavalahalli, Bangalore",Avalahalli,Bengaluru,2200.0,3,5,3,Semi-Furnished,37.0,82000.0,37.27
1 BHK House for Rent in Ayyappa Nagar Krishnarajapura Bangalore,Ayappa Nagar KR Puram,Bengaluru,700.0,1,1,0,Unfurnished,19.0,13500.0,19.29
"2 BHK Flat for Rent in B Narayanapura, Mahadevapura, Bangalore",B Narayanapura,Bengaluru,850.0,2,2,0,Semi-Furnished,29.0,25000.0,29.41
"2 BHK Flat for Rent in B Narayanapura, Mahadevapura, Bangalore",B Narayanapura,Bengaluru,1250.0,2,2,0,Semi-Furnished,23.0,29000.0,23.2
2 BHK House for Rent in Babusabpalya Bangalore,Babusahib Palya,Bengaluru,800.0,2,1,0,Unfurnished,14.0,11000.0,13.75
"2 BHK Flat for Rent in Babusabpalya, Bangalore",Babusahib Palya,Bengaluru,1040.0,2,2,2,Semi-Furnished,37.0,38000.0,36.54
4 BHK House for Rent in Babusabpalya Bangalore,Babusahib Palya,Bengaluru,1200.0,4,3,0,Semi-Furnished,38.0,45000.0,37.5
"2 BHK Flat for Rent in Bagalur Main Road, Bangalore",Bagalur Main Road,Bengaluru,999.0,2,2,2,Semi-Furnished,25.0,25000.0,25.03
"2 BHK Flat for Rent in Bagalur Main Road, Bangalore",Bagalur Main Road,Bengaluru,687.0,2,2,0,Semi-Furnished,36.0,25000.0,36.39
"2 BHK Flat for Rent in Bagalur Main Road, Bangalore",Bagalur Main Road,Bengaluru,675.0,2,2,2,Semi-Furnished,39.0,26000.0,38.52
"2 BHK Flat for Rent in Bagalur Main Road, Bangalore",Bagalur Main Road,Bengaluru,971.0,2,2,0,Semi-Furnished,29.0,28000.0,28.84
"2 BHK Flat for Rent in Bagalur Main Road, Bangalore",Bagalur Main Road,Bengaluru,971.0,2,2,0,Semi-Furnished,30.0,29000.0,29.87
"2 BHK Flat for Rent in Bagalur Main Road, Bangalore",Bagalur Main Road,Bengaluru,999.0,2,2,2,Furnished,35.0,35000.0,35.04
"2 BHK Flat for Rent in Bagalur Main Road, Bangalore",Bagalur Main Road,Bengaluru,999.0,2,2,0,Semi-Furnished,35.0,35000.0,35.04
"3 BHK Flat for Rent in Bagalur Main Road, Bangalore",Bagalur Main Road,Bengaluru,1224.0,3,2,0,Unfurnished,25.0,30000.0,24.51
"3 BHK Flat for Rent in Bagalur Main Road, Bangalore",Bagalur Main Road,Bengaluru,1431.0,3,3,0,Unfurnished,24.0,35000.0,24.46
"3 BHK Flat for Rent in Bagalur Main Road, Bangalore",Bagalur Main Road,Bengaluru,1002.0,3,3,0,Semi-Furnished,36.0,36000.0,35.93
"3 BHK Flat for Rent in Bagalur Main Road, Bangalore",Bagalur Main Road,Bengaluru,1100.0,3,3,2,Semi-Furnished,36.0,40000.0,36.36
"3 BHK Flat for Rent in Bagalur Main Road, Bangalore",Bagalur Main Road,Bengaluru,1562.0,3,3,0,Unfurnished,27.0,42000.0,26.89
"3 BHK Flat for Rent in Bagalur Main Road, Bangalore",Bagalur Main Road,Bengaluru,1431.0,3,3,2,Furnished,30.0,43000.0,30.05
4 BHK Villa for Rent in Bagalur Sarjapur Road Bangalore,Bagalur Sarjapur Road,Bengaluru,2800.0,4,5,2,Semi-Furnished,9.0,26000.0,9.29
2 BHK House for Rent in Bagaluru Bangalore,Bagaluru,Bengaluru,1100.0,2,2,0,Semi-Furnished,15.0,17000.0,15.45
