house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent,rent_per_sqft
"2 BHK Flat for Rent in Doddaballapur Main Road, Bangalore",Doddaballapur Main Road,Bengaluru,1000.0,2,2,0,Unfurnished,14.0,14000.0,14.0
"2 BHK Flat for Rent in Doddaballapur Main Road, Bangalore",Doddaballapur Main Road,Bengaluru,1370.0,2,2,0,Semi-Furnished,29.0,40000.0,29.2
"3 BHK Flat for Rent in Doddaballapur Main Road, Bangalore",Doddaballapur Main Road,Bengaluru,1075.0,3,2,0,Semi-Furnished,14.0,15000.0,13.95
"3 BHK Flat for Rent in Doddaballapur Main Road, Bangalore",Doddaballapur Main Road,Bengaluru,1000.0,3,3,0,Semi-Furnished,16.0,16000.0,16.0
"3 BHK Flat for Rent in Doddaballapur Main Road, Bangalore",Doddaballapur Main Road,Bengaluru,783.0,3,2,0,Furnished,31.0,24000.0,30.65
"3 BHK Flat for Rent in Doddaballapur Main Road, Bangalore",Doddaballapur Main Road,Bengaluru,1075.0,3,2,0,Semi-Furnished,24.0,26000.0,24.19
"3 BHK Flat for Rent in Doddaballapur Main Road, Bangalore",Doddaballapur Main Road,Bengaluru,1250.0,3,3,0,Semi-Furnished,34.0,42000.0,33.6
"3 BHK Flat for Rent in Doddaballapur Main Road, Bangalore",Doddaballapur Main Road,Bengaluru,1262.0,3,3,0,Furnished,40.0,50000.0,39.62
"3 BHK Flat for Rent in Doddakallasandra, Konanakunte, Bangalore",Doddakallasandra,Bengaluru,1280.0,3,3,0,Semi-Furnished,34.0,43800.0,34.22
"3 BHK Flat for Rent in Doddakallasandra, Konanakunte, Bangalore",Doddakallasandra,Bengaluru,1480.0,3,3,0,Semi-Furnished,33.0,49000.0,33.11
"3 BHK Flat for Rent in Doddakallasandra, Konanakunte, Bangalore",Doddakallasandra,Bengaluru,1750.0,3,3,2,Semi-Furnished,31.0,55000.0,31.43
2 BHK House for Rent in Doddakannelli Bangalore,Doddakannelli,Bengaluru,600.0,2,2,0,Semi-Furnished,47.0,28000.0,46.67
"2 BHK Flat for Rent in Doddakannelli, Bangalore",Doddakannelli,Bengaluru,1100.0,2,2,0,Semi-Furnished,32.0,35000.0,31.82
2 BHK House for Rent in Doddakannelli Bangalore,Doddakannelli,Bengaluru,1250.0,2,2,0,Semi-Furnished,30.0,38000.0,30.4
"3 BHK Flat for Rent in Doddakannelli, Bangalore",Doddakannelli,Bengaluru,1500.0,3,3,2,Unfurnished,30.0,45000.0,30.0
"3 BHK Flat for Rent in Doddakannelli, Bangalore",Doddakannelli,Bengaluru,1400.0,3,2,2,Semi-Furnished,39.0,55000.0,39.29
4 BHK House for Rent in Doddakannelli Bangalore,Doddakannelli,Bengaluru,2200.0,4,4,0,Furnished,36.0,80000.0,36.36
4 BHK Villa for Rent in Doddakannelli Bangalore,Doddakannelli,Bengaluru,2620.0,4,4,3,Semi-Furnished,46.0,120000.0,45.8
1 BHK House for Rent in Doddanagamangala Village Bangalore,Doddanagamangala,Bengaluru,800.0,1,1,0,Semi-Furnished,11.0,9000.0,11.25
"2 BHK Flat for Rent in Doddanagamangala Village, Bangalore",Doddanagamangala,Bengaluru,700.0,2,1,0,Semi-Furnished,21.0,15000.0,21.43
"1 BHK Flat for Rent in Doddanekundi, Kartik Nagar, Bangalore",Doddanekundi,Bengaluru,430.0,1,1,0,Semi-Furnished,33.0,14000.0,32.56
"2 BHK Flat for Rent in Doddanekundi, Kartik Nagar, Bangalore",Doddanekundi,Bengaluru,1210.0,2,2,0,Semi-Furnished,24.0,29000.0,23.97
"3 BHK House for Rent in Doddanekundi, Kartik Nagar Bangalore",Doddanekundi,Bengaluru,900.0,3,2,0,Semi-Furnished,31.0,28000.0,31.11
"3 BHK Flat for Rent in Doddanekundi, Kartik Nagar, Bangalore",Doddanekundi,Bengaluru,1600.0,3,2,2,Semi-Furnished,47.0,75000.0,46.88
"3 BHK Flat for Rent in Doddanekundi Main Road, Bangalore",Doddanekundi Main Road,Bengaluru,2300.0,3,3,2,Semi-Furnished,43.0,100000.0,43.48
"2 BHK Flat for Rent in Doddathoguru, Electronic City, Bangalore",Doddathoguru,Bengaluru,912.0,2,2,0,Semi-Furnished,22.0,20000.0,21.93
"3 BHK Flat for Rent in Dollar Scheme, Bangalore",Dollar Scheme,Bengaluru,1750.0,3,3,2,Furnished,25.0,43000.0,24.57
"2 BHK Flat for Rent in Dollars Colony Stage 2nd RMV, Bangalore",Dollars Colony,Bengaluru,1576.0,2,2,2,Semi-Furnished,57.0,90000.0,57.11
"3 BHK Flat for Rent in Dollars Colony Stage 2nd RMV, Bangalore",Dollars Colony,Bengaluru,2400.0,3,3,0,Semi-Furnished,50.0,120000.0,50.0
"3 BHK Flat for Rent in Dollars Colony Stage 2nd RMV, Bangalore",Dollars Colony,Bengaluru,2650.0,3,2,2,Unfurnished,49.0,130000.0,49.06
"2 BHK House for Rent in Domlur, Domlur Bangalore",Domlur,Bengaluru,1200.0,2,2,0,Unfurnished,15.0,18000.0,15.0
"2 BHK Flat for Rent in Domlur, Domlur, Bangalore",Domlur,Bengaluru,1525.0,2,2,2,Semi-Furnished,34.0,52000.0,34.1
"3 BHK Flat for Rent in Domlur, Domlur, Bangalore",Domlur,Bengaluru,1800.0,3,3,2,Furnished,36.0,65000.0,36.11
"3 BHK Flat for Rent in Domlur, Domlur, Bangalore",Domlur,Bengaluru,1750.0,3,4,3,Semi-Furnished,57.0,100000.0,57.14
"2 BHK Flat for Rent in Doopanahalli, Indira nagar, Bangalore",Doopanahalli,Bengaluru,1150.0,2,2,2,Semi-Furnished,37.0,43000.0,37.39
"2 BHK House for Rent in Dooravani Nagar, Dooravani Nagar Bangalore",Dooravani Nagar,Bengaluru,1000.0,2,2,0,Unfurnished,10.0,10000.0,10.0
"2 BHK House for Rent in Dooravani Nagar, Dooravani Nagar Bangalore",Dooravani Nagar,Bengaluru,900.0,2,2,0,Unfurnished,17.0,15000.0,16.67
"2 BHK Flat for Rent in Ecc Road, Whitefield, Bangalore",Ecc Road,Bengaluru,1170.0,2,2,2,Semi-Furnished,25.0,29000.0,24.79
"2 BHK Flat for Rent in Ecc Road, Whitefield, Bangalore",Ecc Road,Bengaluru,1047.0,2,2,0,Semi-Furnished,43.0,45000.0,42.98
"3 BHK Flat for Rent in Ecc Road, Whitefield, Bangalore",Ecc Road,Bengaluru,1250.0,3,3,2,Semi-Furnished,40.0,50000.0,40.0
"4 BHK Villa for Rent in Ecc Road, Whitefield Bangalore",Ecc Road,Bengaluru,2500.0,4,5,2,Semi-Furnished,46.0,120000.0,48.0
"4 BHK Villa for Rent in Ecc Road, Whitefield Bangalore",Ecc Road,Bengaluru,3606.0,4,4,2,Semi-Furnished,35.0,130000.0,36.05
"4 BHK Villa for Rent in Ecc Road, Whitefield Bangalore",Ecc Road,Bengaluru,4000.0,4,5,3,Semi-Furnished,50.0,200000.0,50.0
"2 BHK Flat for Rent in Ejipura, Bangalore",Ejipura,Bengaluru,650.0,2,1,0,Semi-Furnished,16.0,10500.0,16.15
2 BHK House for Rent in Ejipura Bangalore,Ejipura,Bengaluru,1000.0,2,2,0,Semi-Furnished,22.0,22000.0,22.0
2 BHK House for Rent in Ejipura Bangalore,Ejipura,Bengaluru,950.0,2,2,0,Unfurnished,29.0,28000.0,29.47
"2 BHK Flat for Rent in Ejipura, Bangalore",Ejipura,Bengaluru,1100.0,2,2,0,Furnished,29.0,32000.0,29.09
1 BHK House for Rent in Electronic City Bangalore,Electronic City,Bengaluru,450.0,1,1,0,Unfurnished,11.0,5000.0,11.11
"1 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bengaluru,550.0,1,1,0,Semi-Furnished,16.0,9000.0,16.36
"1 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bengaluru,605.0,1,1,2,Semi-Furnished,21.0,13000.0,21.49
"1 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bengaluru,550.0,1,1,0,Semi-Furnished,24.0,13000.0,23.64
"2 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bengaluru,755.0,2,2,0,Semi-Furnished,13.0,10000.0,13.25
2 BHK House for Rent in Electronic City Bangalore,Electronic City,Bengaluru,700.0,2,2,0,Furnished,17.0,12000.0,17.14
2 BHK House for Rent in Electronic City Bangalore,Electronic City,Bengaluru,1000.0,2,2,0,Semi-Furnished,14.0,14000.0,14.0
"2 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bengaluru,1650.0,2,2,0,Furnished,9.0,15000.0,9.09
"2 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bengaluru,910.0,2,2,0,Semi-Furnished,18.0,16000.0,17.58
"2 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bengaluru,780.0,2,2,0,Semi-Furnished,38.0,30000.0,38.46
"2 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bengaluru,910.0,2,2,0,Semi-Furnished,33.0,30000.0,32.97
"2 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bengaluru,858.0,2,2,0,Semi-Furnished,38.0,33000.0,38.46
"2 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bengaluru,1100.0,2,2,0,Semi-Furnished,38.0,42000.0,38.18
"3 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bengaluru,1250.0,3,2,0,Unfurnished,14.0,18000.0,14.4
3 BHK House for Rent in Electronic City Bangalore,Electronic City,Bengaluru,2000.0,3,3,3,Semi-Furnished,13.0,25000.0,12.5
"3 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bengaluru,1518.0,3,3,2,Furnished,26.0,40000.0,26.35
"3 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bengaluru,1550.0,3,3,2,Semi-Furnished,27.0,42000.0,27.1
"3 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bengaluru,1470.0,3,3,0,Furnished,29.0,42000.0,28.57
"3 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bengaluru,1050.0,3,2,0,Semi-Furnished,40.0,42000.0,40.0
"3 BHK Flat for Rent in Electronic City, Bangalore",Electronic City,Bengaluru,1250.0,3,3,2,Semi-Furnished,46.0,58000.0,46.4
3 BHK Villa for Rent in Electronic City Bangalore,Electronic City,Bengaluru,3200.0,3,4,0,Furnished,25.0,80000.0,25.0
3 BHK Villa for Rent in Electronic City Bangalore,Electronic City,Bengaluru,1200.0,3,3,0,Semi-Furnished,83.0,100000.0,83.33
4 BHK Villa for Rent in Electronic City Bangalore,Electronic City,Bengaluru,2900.0,4,4,3,Semi-Furnished,12.0,35000.0,12.07
4 BHK Villa for Rent in Electronic City Bangalore,Electronic City,Bengaluru,4000.0,4,6,3,Semi-Furnished,22.0,90000.0,22.5
4 BHK Villa for Rent in Electronic City Bangalore,Electronic City,Bengaluru,3450.0,4,4,3,Semi-Furnished,29.0,100000.0,28.99
1 BHK House for Rent in Phase 2 Electronic City Bangalore,Electronic City Phase 2,Bengaluru,400.0,1,1,0,Furnished,54.0,21500.0,53.75
"1 BHK Flat for Rent in Phase 2 Electronic City, Bangalore",Electronic City Phase 2,Bengaluru,615.0,1,1,0,Semi-Furnished,46.0,28000.0,45.53
2 BHK House for Rent in Phase 2 Electronic City Bangalore,Electronic City Phase 2,Bengaluru,600.0,2,2,0,Semi-Furnished,14.0,8500.0,14.17
2 BHK Villa for Rent in Phase 2 Electronic City Bangalore,Electronic City Phase 2,Bengaluru,600.0,2,1,0,Semi-Furnished,25.0,15000.0,25.0
"2 BHK Flat for Rent in Phase 2 Electronic City, Bangalore",Electronic City Phase 2,Bengaluru,918.0,2,2,0,Semi-Furnished,20.0,18000.0,19.61
"3 BHK Flat for Rent in Phase 2 Electronic City, Bangalore",Electronic City Phase 2,Bengaluru,1550.0,3,3,0,Semi-Furnished,21.0,32000.0,20.65
"3 BHK Flat for Rent in Phase 2 Electronic City, Bangalore",Electronic City Phase 2,Bengaluru,1650.0,3,3,2,Furnished,33.0,55000.0,33.33
"3 BHK Flat for Rent in Phase 2 Electronic City, Bangalore",Electronic City Phase 2,Bengaluru,1550.0,3,3,0,Furnished,39.0,60000.0,38.71
4 BHK Villa for Rent in Phase 2 Electronic City Bangalore,Electronic City Phase 2,Bengaluru,1800.0,4,3,0,Semi-Furnished,19.0,35000.0,19.44
"1 BHK Flat for Rent in Phase 1 Electronics City, Bangalore",Electronics City Phase 1,Bengaluru,500.0,1,1,0,Semi-Furnished,22.0,11000.0,22.0
1 BHK House for Rent in Phase 1 Electronics City Bangalore,Electronics City Phase 1,Bengaluru,450.0,1,1,0,Semi-Furnished,36.0,16000.0,35.56
"2 BHK Flat for Rent in Phase 1 Electronics City, Bangalore",Electronics City Phase 1,Bengaluru,1002.0,2,2,2,Unfurnished,26.0,26000.0,25.95
"2 BHK Flat for Rent in Phase 1 Electronics City, Bangalore",Electronics City Phase 1,Bengaluru,1000.0,2,2,2,Unfurnished,27.0,27000.0,27.0
"2 BHK Flat for Rent in Phase 1 Electronics City, Bangalore",Electronics City Phase 1,Bengaluru,800.0,2,2,0,Semi-Furnished,40.0,32000.0,40.0
2 BHK House for Rent in Phase 1 Electronics City Bangalore,Electronics City Phase 1,Bengaluru,936.0,2,2,2,Furnished,34.0,32000.0,34.19
"2 BHK Flat for Rent in Phase 1 Electronics City, Bangalore",Electronics City Phase 1,Bengaluru,1345.0,2,2,2,Semi-Furnished,37.0,50000.0,37.17
"3 BHK Flat for Rent in Phase 1 Electronics City, Bangalore",Electronics City Phase 1,Bengaluru,1050.0,3,3,0,Semi-Furnished,36.0,38000.0,36.19
"3 BHK Flat for Rent in Phase 1 Electronics City, Bangalore",Electronics City Phase 1,Bengaluru,1600.0,3,2,0,Furnished,25.0,40000.0,25.0
"3 BHK Flat for Rent in Phase 1 Electronics City, Bangalore",Electronics City Phase 1,Bengaluru,1750.0,3,3,0,Semi-Furnished,29.0,50000.0,28.57
"3 BHK Flat for Rent in Elus Road, Bangalore",Elus Road,Bengaluru,1485.0,3,3,2,Semi-Furnished,39.0,58000.0,39.06
"2 BHK Flat for Rent in Epip Zone, Whitefield, Bangalore",Epip Zone,Bengaluru,950.0,2,2,0,Furnished,34.0,32000.0,33.68
"4 BHK Villa for Rent in Epip Zone, Whitefield Bangalore",Epip Zone,Bengaluru,3850.0,4,5,2,Unfurnished,78.0,300000.0,77.92
4 BHK House for Rent in Ex Servicemen Colony RT Nagar Bangalore,Ex Service Men Colony,Bengaluru,3700.0,4,4,4,Unfurnished,11.0,39000.0,10.54
"3 BHK Flat for Rent in F Block Sahakar Nagar, Bangalore",F Block Sahakar Nagar,Bengaluru,1580.0,3,3,3,Semi-Furnished,27.0,43000.0,27.22
3 BHK House for Rent in Pulikeshi Nagar Bangalore,Frazer Town,Bengaluru,1700.0,3,2,0,Semi-Furnished,21.0,36000.0,21.18
"3 BHK Flat for Rent in Pulikeshi Nagar, Bangalore",Frazer Town,Bengaluru,1700.0,3,3,2,Semi-Furnished,24.0,40000.0,23.53
"3 BHK Flat for Rent in Pulikeshi Nagar, Bangalore",Frazer Town,Bengaluru,2920.0,3,3,3,Semi-Furnished,43.0,130000.0,44.52
4 BHK House for Rent in Pulikeshi Nagar Bangalore,Frazer Town,Bengaluru,1800.0,4,4,3,Semi-Furnished,20.0,36000.0,20.0
"4 BHK Flat for Rent in Pulikeshi Nagar, Bangalore",Frazer Town,Bengaluru,2350.0,4,3,0,Furnished,38.0,90000.0,38.3
"3 BHK Flat for Rent in G Block Sahakar Nagar, Bangalore",G Block Sahakar Nagar,Bengaluru,1180.0,3,3,2,Furnished,64.0,75000.0,63.56
"3 BHK Flat for Rent in Gandhi Bazaar, Bangalore",Gandhi Bazar,Bengaluru,1800.0,3,3,2,Unfurnished,35.0,63000.0,35.0
3 BHK House for Rent in Ganganagar Bangalore,Ganganagar,Bengaluru,1000.0,3,3,0,Semi-Furnished,15.0,15000.0,15.0
"2 BHK House for Rent in Gattahalli, Electronic City Bangalore",Gattahalli,Bengaluru,900.0,2,2,0,Semi-Furnished,24.0,21500.0,23.89
"3 BHK Flat for Rent in Gattahalli, Electronic City, Bangalore",Gattahalli,Bengaluru,1235.0,3,2,0,Furnished,26.0,32000.0,25.91
"2 BHK Flat for Rent in Gm Palya, CV Raman Nagar, Bangalore",Gm Palya,Bengaluru,1000.0,2,1,0,Unfurnished,25.0,25000.0,25.0
2 BHK House for Rent in Gollarahatti Bangalore,Gollarahatti,Bengaluru,1200.0,2,1,0,Unfurnished,6.0,7500.0,6.25
3 BHK House for Rent in Gopasandra Sarjapura Road Bangalore,Gopasandra Sarjapura Road,Bengaluru,7500.0,3,3,0,Furnished,80.0,600000.0,80.0
2 BHK House for Rent in Gottigere Bangalore,Gottigere,Bengaluru,700.0,2,1,0,Semi-Furnished,11.0,7500.0,10.71
"2 BHK Flat for Rent in Gottigere, Bangalore",Gottigere,Bengaluru,1030.0,2,2,2,Semi-Furnished,13.0,13500.0,13.11
"2 BHK Flat for Rent in Gottigere, Bangalore",Gottigere,Bengaluru,1073.0,2,2,3,Semi-Furnished,14.0,15000.0,13.98
"2 BHK Flat for Rent in Gottigere, Bangalore",Gottigere,Bengaluru,1100.0,2,2,0,Semi-Furnished,15.0,16000.0,14.55
"2 BHK Flat for Rent in Gottigere, Bangalore",Gottigere,Bengaluru,1178.0,2,2,4,Unfurnished,15.0,18000.0,15.28
"2 BHK Flat for Rent in Gottigere, Bangalore",Gottigere,Bengaluru,1200.0,2,2,2,Semi-Furnished,23.0,28000.0,23.33
"2 BHK Flat for Rent in Gottigere, Bangalore",Gottigere,Bengaluru,1000.0,2,1,2,Furnished,45.0,45000.0,45.0
"3 BHK Flat for Rent in Gottigere, Bangalore",Gottigere,Bengaluru,1207.0,3,2,0,Unfurnished,11.0,13000.0,10.77
"3 BHK Flat for Rent in Gottigere, Bangalore",Gottigere,Bengaluru,1348.0,3,2,2,Unfurnished,38.0,51000.0,37.83
"2 BHK Flat for Rent in Govindpura, Dooravani Nagar, Bangalore",Govindpura,Bengaluru,450.0,2,1,0,Unfurnished,22.0,10000.0,22.22
2 BHK House for Rent in Green Woods Layout Bangalore,Green Woods Layout,Bengaluru,1020.0,2,2,0,Semi-Furnished,15.0,15000.0,14.71
"2 BHK Flat for Rent in Gruha Lakshmi Layout, Kamala Nagar, Bangalore",Gruha Lakshmi Layout,Bengaluru,960.0,2,2,2,Furnished,18.0,17000.0,17.71
"3 BHK Flat for Rent in Gubbalala, Subramanyapura, Bangalore",Gubbalala,Bengaluru,1390.0,3,3,2,Semi-Furnished,29.0,40000.0,28.78
"2 BHK Flat for Rent in Gummanahalli, Bangalore",Gummanahalli,Bengaluru,971.0,2,2,0,Semi-Furnished,26.0,25000.0,25.75
"2 BHK Flat for Rent in Gummanahalli, Bangalore",Gummanahalli,Bengaluru,977.0,2,2,0,Semi-Furnished,27.0,26000.0,26.61
"2 BHK Flat for Rent in Gummanahalli, Bangalore",Gummanahalli,Bengaluru,800.0,2,2,2,Semi-Furnished,40.0,32000.0,40.0
"3 BHK Flat for Rent in Gummanahalli, Bangalore",Gummanahalli,Bengaluru,1055.0,3,3,2,Unfurnished,35.0,37000.0,35.07
1 BHK House for Rent in Gunjur Bangalore,Gunjur,Bengaluru,500.0,1,1,0,Unfurnished,22.0,11000.0,22.0
"2 BHK Flat for Rent in Gunjur, Bangalore",Gunjur,Bengaluru,1255.0,2,2,0,Semi-Furnished,30.0,38000.0,30.28
"3 BHK Flat for Rent in Gunjur, Bangalore",Gunjur,Bengaluru,1375.0,3,2,0,Semi-Furnished,33.0,45000.0,32.73
"3 BHK Flat for Rent in Gunjur, Bangalore",Gunjur,Bengaluru,1400.0,3,3,2,Unfurnished,44.0,62000.0,44.29
4 BHK Villa for Rent in Gunjur Bangalore,Gunjur,Bengaluru,4000.0,4,5,0,Semi-Furnished,62.0,250000.0,62.5
5 BHK Villa for Rent in Gunjur Bangalore,Gunjur,Bengaluru,7830.0,5,7,5,Semi-Furnished,36.0,280000.0,35.76
"2 BHK Flat for Rent in Gunjur Balagere Road, Bangalore",Gunjur Balagere Road,Bengaluru,1100.0,2,2,0,Semi-Furnished,32.0,35000.0,31.82
3 BHK House for Rent in Gunjur Balagere Road Bangalore,Gunjur Balagere Road,Bengaluru,1400.0,3,3,2,Semi-Furnished,29.0,40000.0,28.57
1 BHK House for Rent in Hsr Layout Bangalore,HSR Layout,Bengaluru,700.0,1,1,0,Semi-Furnished,21.0,15000.0,21.43
"1 BHK Flat for Rent in Hsr Layout, Bangalore",HSR Layout,Bengaluru,480.0,1,1,0,Furnished,52.0,25000.0,52.08
"1 BHK Flat for Rent in Hsr Layout, Bangalore",HSR Layout,Bengaluru,550.0,1,1,0,Semi-Furnished,47.0,26000.0,47.27
"2 BHK Flat for Rent in Hsr Layout, Bangalore",HSR Layout,Bengaluru,1100.0,2,2,2,Semi-Furnished,39.0,42500.0,38.64
2 BHK House for Rent in Hsr Layout Bangalore,HSR Layout,Bengaluru,1500.0,2,1,0,Semi-Furnished,29.0,43000.0,28.67
"3 BHK Flat for Rent in Hsr Layout, Bangalore",HSR Layout,Bengaluru,1350.0,3,2,2,Unfurnished,33.0,45000.0,33.33
"3 BHK Flat for Rent in Hsr Layout, Bangalore",HSR Layout,Bengaluru,1479.0,3,3,0,Semi-Furnished,34.0,50000.0,33.81
"3 BHK Flat for Rent in Hsr Layout, Bangalore",HSR Layout,Bengaluru,2400.0,3,3,0,Semi-Furnished,25.0,60000.0,25.0
"3 BHK Flat for Rent in Hsr Layout, Bangalore",HSR Layout,Bengaluru,1400.0,3,3,3,Semi-Furnished,45.0,63000.0,45.0
"3 BHK Flat for Rent in Hsr Layout, Bangalore",HSR Layout,Bengaluru,1700.0,3,3,2,Semi-Furnished,38.0,65000.0,38.24
"3 BHK Flat for Rent in Hsr Layout, Bangalore",HSR Layout,Bengaluru,2000.0,3,3,0,Furnished,40.0,80000.0,40.0
"3 BHK Flat for Rent in Hsr Layout, Bangalore",HSR Layout,Bengaluru,1800.0,3,2,3,Semi-Furnished,44.0,80000.0,44.44
4 BHK House for Rent in Hsr Layout Bangalore,HSR Layout,Bengaluru,2000.0,4,3,0,Semi-Furnished,38.0,75000.0,37.5
4 BHK Villa for Rent in Hsr Layout Bangalore,HSR Layout,Bengaluru,3600.0,4,5,3,Furnished,44.0,160000.0,44.44
6 BHK House for Rent in Hsr Layout Bangalore,HSR Layout,Bengaluru,2500.0,6,5,0,Furnished,12.0,30000.0,12.0
"3 BHK Flat for Rent in Hadosiddapura, Chikkakannalli, Bangalore",Hadosiddapura,Bengaluru,1780.0,3,3,2,Unfurnished,35.0,63000.0,35.39
"3 BHK Flat for Rent in Hadosiddapura, Chikkakannalli, Bangalore",Hadosiddapura,Bengaluru,1507.0,3,3,0,Semi-Furnished,42.0,64000.0,42.47
2 BHK House for Rent in Stage 3rd HAL Bangalore,Hal 3Rd Stage,Bengaluru,600.0,2,1,0,Semi-Furnished,33.0,20000.0,33.33
"2 BHK Flat for Rent in HAL Old Airport Road, Bangalore",Hal Old Airport Road,Bengaluru,1250.0,2,2,0,Furnished,42.0,52000.0,41.6
"2 BHK Flat for Rent in HAL Old Airport Road, Bangalore",Hal Old Airport Road,Bengaluru,1431.0,2,2,0,Unfurnished,70.0,100000.0,69.88
"4 BHK Flat for Rent in HAL Old Airport Road, Bangalore",Hal Old Airport Road,Bengaluru,3470.0,4,4,4,Semi-Furnished,58.0,200000.0,57.64
"3 BHK Flat for Rent in Halanayakanahalli, Bangalore",Halanayakanahalli,Bengaluru,2000.0,3,3,0,Unfurnished,35.0,70000.0,35.0
"1 BHK Flat for Rent in Halasuru, Bangalore",Halasuru,Bengaluru,450.0,1,1,0,Semi-Furnished,29.0,13000.0,28.89
1 BHK House for Rent in Halasuru Bangalore,Halasuru,Bengaluru,300.0,1,1,0,Semi-Furnished,67.0,20000.0,66.67
"1 BHK Flat for Rent in Halasuru, Bangalore",Halasuru,Bengaluru,1250.0,1,2,0,Furnished,80.0,100000.0,80.0
2 BHK House for Rent in Halasuru Bangalore,Halasuru,Bengaluru,600.0,2,2,0,Unfurnished,22.0,13000.0,21.67
"2 BHK Flat for Rent in Halasuru, Bangalore",Halasuru,Bengaluru,1000.0,2,2,0,Semi-Furnished,26.0,26000.0,26.0
"3 BHK Flat for Rent in Halasuru, Bangalore",Halasuru,Bengaluru,1455.0,3,3,2,Semi-Furnished,86.0,130000.0,89.35
"3 BHK Flat for Rent in Halasuru, Bangalore",Halasuru,Bengaluru,3400.0,3,4,3,Semi-Furnished,59.0,200000.0,58.82
"3 BHK Flat for Rent in Hanumanthappa Layout Sivanchetti Gardens, Bangalore",Hanumanthappa Layout Sivanchetti Gardens,Bengaluru,1950.0,3,3,3,Semi-Furnished,77.0,150000.0,76.92
"2 BHK Flat for Rent in Haralur, Bangalore",Haralur,Bengaluru,712.0,2,2,2,Furnished,70.0,50000.0,70.22
"3 BHK Flat for Rent in Haralur, Bangalore",Haralur,Bengaluru,1640.0,3,3,0,Semi-Furnished,40.0,65000.0,39.63
"3 BHK Flat for Rent in Haralur, Bangalore",Haralur,Bengaluru,1690.0,3,3,0,Semi-Furnished,38.0,65000.0,38.46
"3 BHK Flat for Rent in Haralur, Bangalore",Haralur,Bengaluru,1740.0,3,3,0,Semi-Furnished,37.0,65000.0,37.36
"4 BHK Flat for Rent in Haralur, Bangalore",Haralur,Bengaluru,2300.0,4,3,2,Furnished,35.0,80000.0,34.78
"2 BHK Flat for Rent in Haralur Main Road, Bangalore",Haralur Main Road,Bengaluru,1000.0,2,2,0,Unfurnished,30.0,30000.0,30.0
2 BHK House for Rent in Haralur Main Road Bangalore,Haralur Main Road,Bengaluru,1050.0,2,2,0,Semi-Furnished,30.0,32000.0,30.48
"2 BHK Flat for Rent in Haralur Main Road, Bangalore",Haralur Main Road,Bengaluru,1303.0,2,2,0,Furnished,46.0,60000.0,46.05
"3 BHK Flat for Rent in Haralur Main Road, Bangalore",Haralur Main Road,Bengaluru,1549.0,3,3,2,Semi-Furnished,43.0,67000.0,43.25
3 BHK House for Rent in Haralur Main Road Bangalore,Haralur Main Road,Bengaluru,2017.0,3,3,2,Semi-Furnished,35.0,70000.0,34.71
"3 BHK Flat for Rent in Haralur Main Road, Bangalore",Haralur Main Road,Bengaluru,1300.0,3,2,2,Semi-Furnished,58.0,76000.0,58.46
4 BHK Villa for Rent in Haralur Main Road Bangalore,Haralur Main Road,Bengaluru,3300.0,4,5,0,Furnished,33.0,110000.0,33.33
1 BHK House for Rent in Harlur Bangalore,Harlur,Bengaluru,700.0,1,1,0,Semi-Furnished,16.0,11000.0,15.71
"2 BHK Flat for Rent in Harlur, Bangalore",Harlur,Bengaluru,845.0,2,2,0,Semi-Furnished,53.0,45000.0,53.25
1 BHK House for Rent in Harsha Layout Kengeri Satellite Town Bangalore,Harsha Layout,Bengaluru,850.0,1,1,0,Semi-Furnished,11.0,9000.0,10.59
1 BHK House for Rent in Hbr Layout Bangalore,Hbr Layout,Bengaluru,300.0,1,1,0,Unfurnished,28.0,8500.0,28.33
1 BHK House for Rent in Hbr Layout Bangalore,Hbr Layout,Bengaluru,600.0,1,1,0,Semi-Furnished,20.0,12000.0,20.0
"2 BHK Flat for Rent in Hbr Layout, Bangalore",Hbr Layout,Bengaluru,900.0,2,2,0,Unfurnished,33.0,30000.0,33.33
"2 BHK Flat for Rent in Hbr Layout, Bangalore",Hbr Layout,Bengaluru,1100.0,2,2,0,Unfurnished,35.0,38000.0,34.55
"3 BHK Flat for Rent in Hbr Layout, Bangalore",Hbr Layout,Bengaluru,1250.0,3,2,0,Semi-Furnished,24.0,30000.0,24.0
